ID,SMILES,DATA
91,CCOC(=O)C(c1ccccc1)C(=O)Cc2ccccc2,4
92,c1ccc(cc1)C(=O)/C=C/c2cccc(c2)Cl,5.457
93,C(=N[Cu+2](N)(N)(N)(N)N=C=S)=S,4.614
94,CCCCCCCCCCCC[n+]1ccc(cc1)CCCCCCCCC,6.218
95,C=CCCCCCCCCC(=O)O,3.894
96,c1cc(ccc1N)[As](=O)(O)O,4
97,c1ccc(cc1)/N=N/c2ccc(cc2)N,5.193
98,c1cc2cccnc2c(c1)O,5.209
99,c1cc(ccc1NCC(=O)N)[As](=O)(O)O,4
100,CCN(CC)CC(c1ccc2ccc3ccccc3c2c1)O,4.625
101,c1cc(oc1)/C=C/C=O,5.023
102,Cn1c2c(c(=O)n(c1=O)C)[nH]cn2,4
103,Cc1ccc(cc1)NCCO,4
104,C(CCl)C(=O)O,2.561
105,Cc1cc(c(cc1C2(c3ccccc3C(=O)O2)c4cc(c(cc4C)O)C(C)C)C(C)C)O,6.824
106,c1ccc2c(c1)c(c[nH]2)CC(C(=O)NO)C(=O)O,4.4
107,C(C(CC(=O)O)C(=O)O)C(=O)O,4
108,CC(C)(C)c1ccc(c(c1)Br)O,4
109,Cc1c(ccc2c1oc(=O)c(c2O)NC(=O)c3ccc(c(c3)CC=C(C)C)O)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O,4.109
110,c1ccc(cc1)/C=C\2/C(=O)/C(=C/c3ccccc3)/CCC2,5.059
111,c1ccc2c[n+](ccc2c1)Cc3ccnc4c3cccc4,4
112,c1ccc(cc1)COC2C(C(C(CO2)O)O)O,4
113,CCCC[Sn](CCCC)(Cl)Cl,6.757
114,CCCOC(=O)c1cc(c(c(c1)O)O)O,4
115,C(C(=O)O)(Cl)Cl,2.308
116,c1ccc2c(c1)C(=NO)c3ccccc3S2(=O)=O,4.327
117,c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)Cl,4
118,c1ccc2c(c1)cccc2CCCS(=O)(=O)O,4
119,C(=C/C(=O)O)\C(=O)O,4
120,C[n+]1c2cc(ccc2cc3c1cc(cc3)N)N,5.611
121,Cc1[nH]c2ccccc2c(=O)n1,4
122,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,4
123,C(=O)(C(=O)N)N,4
