ID,SMILES,DATA
333,c1ccc(c(c1)NC(=O)c2ccc(cc2)[N+](=O)[O-])Cl,4
334,c1ccc(cc1)NNC(=O)C(=O)NNc2ccccc2,6.196
335,C[N+](C)(C)C(Cc1c[nH]c(=S)[nH]1)C(=O)O,4
336,c1cc2c(c(c1)O)C(=O)c3c(cccc3O)C2=O,4
337,c1cc2c(c(c1)O)C(=O)c3cccc(c3C2=O)O,4
338,c1ccc2c(c1)C(=O)c3ccc(c(c3C2=O)O)O,4.437
339,c1cc2c(c(c1)N)C(=O)c3cccc(c3C2=O)N,4
340,c1ccc2c(c1)ccc(c2O)/N=N/c3c4ccc(cc4c(cc3O)S(=O)(=O)O)[N+](=O)[O-],5.057
341,c1c/2cc(c(c1)/C=C\c3c(cc(cc3)/N=N\c4cc(c(cc4)/C=C\c5c(cc(cc5)/N=N2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,4
342,c1cc-2c(cc1Br)C(=O)c3ccc4c5ccc6c7c5c(ccc7-c8ccc(cc8C6=O)Br)c9c4c3c2cc9,6.104
343,C1C[N+]23CC(=O)O[Mn]245([N+]1(CC(=O)O4)CC(=O)O5)OC(=O)C3,4
344,C1C[N+]23CC(=O)O[Cu+2]245([N+]1(CC(=O)O4)CC(=O)O5)OC(=O)C3,4
345,c1[nH]c\2c(n1)[nH]cn/c2=N\N,5.527
346,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)CO)O)O)N,4
347,Cc1c(c(nc(n1)N)N)c2ccc(c(c2)Cl)Cl,6.365
348,C(CC(=O)C=[N+]=N)C(C(=O)O)N,5.7025
349,COc1cc(ccc1O)/C=C\[N+](=O)[O-],5.648
350,c1ccc2c(c1)-c3ccccc3C(=O)C2=O,5.825
351,COc1ccc(cc1OC)/C=C\[N+](=O)[O-],5.495
352,CCN(CC)CCNC(=O)C(=C1C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,5.502
353,c1c(cc(c(c1C2CCCCC2)O)C(=O)N)Br,4.82
354,CC(C)(C)c1ccc(cc1)NS(=O)(=O)c2ccc(cc2)N,4.789
355,c1ccc(cc1)c2c(c(c(o2)c3ccccc3)CN4CCCCC4)CN5CCCCC5,5.596
356,CCCCCN(CCCCC)CC(c1cc(c2ccc3cc(ccc3c2c1)C(C)C)C)O,5.659
357,COc1c2c(cc3c1OCO3)C45CCN(C2)C4CC(C=C5)OC,4
358,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5C(=O)C4=C3C)C)O)C)NC1,4.198
359,CC1C(C(C(C(O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)c6ccc(=O)oc6)C)C)O)O)O,8.93675
360,CC1C(C(CC(O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)O,5.185
361,CC(=O)OC1CC2(C(CCC3(C2(CCC3c4ccc(=O)oc4)O)C)C5(C1=CC(CC5)OC6C(C(C(C(O6)CO)O)O)O)C)O,8
362,CC1C(C(C(C(O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)c6ccc(=O)oc6)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O,8.801
363,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,7.702
364,CC1C(C(CC(O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O,4
365,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O,7.57
366,CC(=O)OC1CC2(C(CCC3(C2(CCC3c4ccc(=O)oc4)O)C)C5(C1=CC(CC5)O)C)O,7.9745
367,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CC(C5C6=CC(=O)OC6)O)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O,6.934
368,c1ccc2c(c1)c(c3ccccc3n2)N,5.639
369,c1ccc2c(c1)C(=O)C3=C(C2=O)C(C(C4C3C=CC=N4)(O)S(=O)(=O)O)(O)S(=O)(=O)O,5.189
370,c1ccc(cc1)Nc2c(ccc3c2C(=O)c4ccccc4C3=O)C(=O)O,4.392
371,C1(C(=O)NC(=O)N1)NC(=O)N,4
372,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,4.866
373,c1cc(ccc1C(=O)O)N,4
374,c1ccc2c(c1)c3=[N+]([Cu+2]4([N+](=c5c6ccccc6[nH]c5=[O+]4)[O-])[O+]=c3[nH]2)[O-],4
375,CC1(C2CCC1(C(C2)Cl)CC(=O)O)C,4
376,C[C@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)/C=C/c3ccccc3,4.691
377,C=CC(=O)NCNC(=O)C=C,4
378,COc1ccc(c(c1)O)C(=O)c2ccccc2,4
379,Cc1cc(c(c(c1)C(C)(C)C)O)Cc2cc(cc(c2O)C(C)(C)C)C,5.001
380,CCc1cc(c(c(c1)C(C)(C)C)O)Cc2cc(cc(c2O)C(C)(C)C)CC,5.288
381,Cc1ccc(c(c1)S(=O)(=O)O)Nc2ccc(c3c2C(=O)c4ccccc4C3=O)Nc5ccc(cc5S(=O)(=O)O)C,4
382,c1ccc2c(c1)C(=O)c3cc(c(c(c3C2=O)O)O)S(=O)(=O)O,4
383,Cc1ccc(cc1)[n+]2c3cc(c(cc3nc4c2cc(c(c4)C)Nc5ccccc5)C)N,6.652
384,c1cc(ccc1C(=C2C=CC(=O)C=C2)c3ccc(cc3)O)O,5.622
385,c1cc2cccc(c2c(c1)c3cccc4c3c(ccc4)C(=O)O)C(=O)O,4
386,Cc1ccc(cc1)/N=N\c2c3ccc(cc3ccc2O)S(=O)(=O)O,4
387,CCN(CC)c1cc2c(cc1C)nc3ccc(cc3[o+]2)N(C)C,5.639
388,CCN(CC)c1ccc2c(c1)[o+]c3c(n2)c(cc(c3O)O)C(=O)N,5.722
389,c1ccc(cc1)/N=N/c2c3ccc(cc3ccc2O)S(=O)(=O)O,4
390,c1ccc(cc1)/N=N/c2ccc(cc2)/N=N/c3c(ccc4c3c(cc(c4)S(=O)(=O)O)S(=O)(=O)O)O,4
391,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,4.493
392,c1ccc2c(c1)cccc2/N=N/c3c(ccc4c3c(cc(c4)S(=O)(=O)O)S(=O)(=O)O)O,4
393,Cn1cnc2c1c(nc(n2)Cl)Cl,6.076
394,c1ccc(cc1)c2ccc(c(c2)N)O,4.635
395,CCC(C)(C)c1ccc(cc1)Oc2cccc(c2)C(=O)O,4.539
396,c1ccc(cc1)C(=O)Nc2cccc3c2cccc3,4.567
397,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,4
398,C1(C(C(C(C(C1O)O)O)O)O)O,5.77
399,C(C(C1C(=C(C(=O)O1)O)O)O)O,3.622
400,C1C=C2C(=CC(=O)O2)C(O1)O,6.736
401,c1ccc(cc1)NC(=N)NC(=N)N,4
402,c1ccc(cc1)c2[nH]nc(n2)NC(=O)N,4
403,CCN(CC)CCCC(c1ccc(cc1)F)Nc2c3ccc(cc3nc4c2cc(cc4)OC)Cl,5.62
404,CC(C)C(=O)N,2.301
405,CCCC(=O)OCC(CO)O,2.347
406,CCOC(=O)c1ccc(cc1)O,4
407,c1ccc2c(c1)cc(c3c2cccc3)Cl,8
408,Cc1cc(cc2c1ccc3c2ccc(c3)C(C)C)C(CN(C)C)O,5.606
409,CCN(CC)CCCCNc1c2ccc(cc2nc3c1cc(cc3)OC)Cl,6.281
410,CN(C)c1ccc2c(c1)[o+]c3c(n2)c(cc(c3O)O)C(=O)N,6.326
411,c1cc2c(cc1O)OCC3(C2c4cc(c(cc4C3)O)O)O,4.527
412,CCNc1ccc(cc1)C(=C2C=CC(=N)C=C2)c3ccc(c(c3)C)N(CC)CC,6.515
413,Cc1cc(ccc1N(C)C)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)[N+](C)(C)C,5.605
414,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccc(cc3)N(CC)CC,7.227
415,Cc1c(ccc(c1)c2cc(c(cc2)/N=N/c3c(c4c(c(cc(c4cc3)S(=O)(=O)O)S(=O)(=O)O)N)O)C)/N=N/c5c(c6c(c(cc(c6cc5)S(=O)(=O)O)S(=O)(=O)O)N)O,4
416,c1cc2c(cc(c(c2nc1)O)I)I,5.158
417,c1ccc2c(c1)ccc(=O)o2,4
418,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,6.634
419,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.621
420,c1cc(ccc1C[C@@H](C(=O)O)N)N(CCCl)CCCl,5.628
421,CCOC(=O)NC,4
422,CCC(CS(=O)(=O)O)[N+](=O)[O-],4
423,c1ccc2c(c1)nc(o2)NC(=N)N,4
424,CC(C)(C)c1ccc(cc1)[I+]c2ccc(cc2)C(C)(C)C,5.932
425,c1ccc(cc1)/N=N/c2ccc(cc2)/N=N/c3c4ccccc4ccc3O,4
426,c1ccc(c(c1)c2c3cc(c(cc3oc-4cc(=O)c(cc24)O)O)O)O,5.137
427,c1cc(ccc1C[As](=O)(O)O)[N+](=O)[O-],4.534
428,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)/C=C/C=C/C=C/C=C\C(=O)O)OC)C,3.8495
429,COc1cc2c(c(c1OC)OC)-c3ccc(c(=O)cc3[C@H](CC2)N)SC,6.822
430,c1cc(c(cc1c2c(c(=O)c3c(cc(cc3o2)O)O)O)O)O,4.511
431,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)NC1,5.599
432,C1C(=O)NC(=O)N1,3.221
433,CC(=CCC/C(=C/CO)/C)C,4
434,c1ccc(cc1)c2ccccc2I,4.382
435,CN(C)c1ccc2c(c1)[o+]c3ccc4ccccc4c3n2,5.499
436,CCC(C)(C)c1ccc(cc1)OCCCCCCN2CCNCC2,5.843
437,c1cc(ccc1C2CCCCC2)OCCCCCCN3CCNCC3,5.821
438,C(C(=O)O)N(CC(=O)O)N,4
439,CN(C)c1ccc(cc1)/N=N/c2ccccn2,5.38
440,c1cc2c(cc1F)c(c[nH]2)CC(C(=O)O)N,3.481
441,c1cc2c(cc1F)[nH]cc2CC(C(=O)O)N,3.4535
442,CN(C)c1ccc2c(c1)[s+]c3c(n2)ccc(c3[N+](=O)[O-])N(C)C,6.042
443,CN(C)c1ccc2c(c1)[n+](c3cc(ccc3n2)N)c4ccccc4,5.388
444,Cc1cc(=O)oc2c1ccc(c2)O,4
445,c1cc2c(cc1N)[s+]c3cc(ccc3n2)N,5.449
446,CN(C)c1ccc2c(c1)[n+](c3cc(ccc3n2)N)c4ccccc4,5.902
447,CNc1ccc2c(c1)[s+]c3cc(ccc3n2)N(C)C,6.364
448,c1ccc2c(c1)ccc(c2N(Nc3ccc(cc3)S(=O)(=O)O)S(=O)(=O)O)O,4
449,CCNc1cc2c(cc1C)nc3cc(c(cc3[s+]2)NCC)C,6.119
450,c1ccc2cc(ccc2c1)c3c(ccc4c3C(=O)c5ccccc5C4=O)C(=O)O,4.632
451,Cc1cc(ccc1/N=N/c2cccc(c2)[N+](C)(C)C)/N=N/c3c4ccccc4ccc3O,5.145
452,CCN(CC)c1ccc2c(c1)[o+]c3cc(c4ccccc4c3n2)NCc5ccccc5,6.323
453,c1c(ccc(c1)/N=N/c2c(c3c(cc(cc3cc2S(=O)(=O)O)S(=O)(=O)O)N)O)c4ccc(cc4)/N=N/c5c(c6c(cc(cc6cc5S(=O)(=O)O)S(=O)(=O)O)N)O,4
454,COc1c(ccc(c1)c2cc(c(cc2)/N=N/c3c(c4c(cc(cc4cc3S(=O)(=O)O)S(=O)(=O)O)N)O)OC)/N=N/c5c(c6c(cc(cc6cc5S(=O)(=O)O)S(=O)(=O)O)N)O,4.054
455,COc1c(ccc(c1)c2cc(c(cc2)/N=N/c3c(c4c(c(cc(c4cc3)S(=O)(=O)O)S(=O)(=O)O)N)O)OC)/N=N/c5c(c6c(c(cc(c6cc5)S(=O)(=O)O)S(=O)(=O)O)N)O,4
456,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)O)OC)C,3.699
457,CCCCCCCCc1ccc(cc1)OCCOCC[N+](C)(C)CC,5.495
458,CCN(CC)CCC(CNc1c2ccc(cc2nc3c1cc(cc3)OC)Cl)c4ccccc4,5.96
459,CC(C)CCN(CCCCCCCCCCN1CCCc2c1ccc(c2)OC)CCC(C)C,5.137
460,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,4
461,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,4.803
462,C1CN1c2nc(nc(n2)N3CC3)N4CC4,6.086
463,C(CCCl)CC(CCl)NCCCl,5.054
464,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC=C3[C@]24C=C[C@@]5([C@@]3(CC[C@@H](C5)O)C)C(C4C(=O)O)C(=O)O)C,4
465,c1cc(c(cc1Cl)Cc2cc(cc(c2O)Cl)Cl)O,5.185
466,CCCC(C)c1cc(c(c(c1)Cc2cc(cc(c2O)Cl)Cl)O)Cc3cc(cc(c3O)Cl)Cl,6.365
467,c1cc(c(c2c1cc(cc2)Br)c3c4ccc(cc4ccc3O)Br)O,5.481
468,c1ccc2c(c1)ccc(c2/N=N/c3ccc(cc3)S(=O)(=O)O)O,4
469,c1ccc(cc1)[n+]2c3cc(ccc3nc4c2cc(cc4)N)N,4
470,CCCCCCCC/C=C\CCCCCCCC(=O)O,3.99
471,Cc1cc(ccc1N)C(=C2C=CC(=N)C(=C2)C)c3ccc(c(c3)C)N,5.543
472,C(CSC(=S)N)C(=O)O,4
473,Cc1ccc(cc1)S(=O)(=O)N,3
474,c1cc(ccc1C(=N)N)OCCCCCOc2ccc(cc2)C(=N)N,4.346
475,c1ccc(cc1)SCCC(=O)NN,4
476,CC(C)c1ccc(cc1)/C=N/NC(=S)N,5.489
477,CC(Cc1c[nH]c2c1cccc2)(C(=O)O)N,3.301
478,CCCCCCCCCC[N+](C)(C)C,6.131
479,c1ccc(cc1)CC(C(=O)O)N,4
480,CC(CN(C)C)C(C#N)(c1ccccc1)c2ccccc2,4.309
481,Cc1cc(c2cc(ccc2n1)OC)NCCCCCCCCCNc3cc(nc4c3cc(cc4)OC)C,5.895
482,CCCCCCCCCCCCn1c(nc2c1cccc2)C,5.555
483,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,4
484,CCN(CC)CCC(CNc1ccnc2c1ccc(c2)Cl)c3ccc(cc3)Cl,5.896
485,CCN(CC)CCC(CNc1ccnc2c1ccc(c2)Cl)c3ccccc3,5.396
486,c1cc2c(cc1/C=C\[N+](=O)[O-])OCO2,5.409
487,c1ccc2c(c1)CCC(=O)O2,4
488,c1ccc(cc1)/C=C(\CC(=O)O)/C(=O)O,4
489,COc1ccc(c(c1)OC)C#CC(=O)O,4
490,COc1cccc(c1OC)C#CC(=O)OC,4.575
491,c1ccc(cc1)C2C(=O)OC(=N2)c3ccccc3,4
492,C\1COC(=O)/C1=N\O,4
493,c1cc2c(cc1[N+](=O)[O-])cc(c(=O)o2)Br,4.24
494,Cc1cc(c(c(c1N)C)N)C,4
495,c1ccc(cc1)C[N+]23CN4CN(C2)CN(C4)C3,4.931
496,c1ccc(cc1)/C=C/C(=O)N2CCCCC2,4
497,CN(Cc1cccc2c1cccc2)Cc3cccc4c3cccc4,4.779
498,c1cc(ccc1C(c2ccc(cc2)Cl)(C(c3ccc(cc3)Cl)(c4ccc(cc4)Cl)O)O)Cl,5.467
499,Cc1ccc(cc1)/C=C/2\CCOC2=O,4
500,COc1ccc(cc1)/C=C\2/CCOC2=O,4
501,c1cc2c(cc1O)oc-3cc(=O)ccc3[n+]2[O-],4.523
502,c1ccc2c(c1)C(=O)c3c(cc(c(c3C2=O)O)O)O,4.456
503,c1ccc(cc1)/N=N/c2c(ccc3c2c(cc(c3)S(=O)(=O)O)S(=O)(=O)O)O,4
504,Cc1ccc(c(c1)C)/N=N\c2c3ccc(cc3cc(c2O)S(=O)(=O)O)S(=O)(=O)O,4
505,c1ccc2c(c1)C(OS2(=O)=O)(c3ccc(cc3)O)c4ccc(cc4)O,4
506,c1cc(ccc1C(=C2C=CC(=N)C=C2)c3ccc(cc3)N)N,5.502
507,Cc1cc(c(cc1C)/N=N/c2c3ccc(cc3cc(c2O)S(=O)(=O)O)S(=O)(=O)O)C,4
508,Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(cc3)N,6.204
509,c1ccc2c(c1)ccc(c2/N=N/c3ccc(cc3S(=O)(=O)O)/N=N\c4ccccc4S(=O)(=O)O)O,4.078
510,Cc1cc(ccc1O)/C(=C/2\C=CC(=O)C(=C2)C)/c3ccccc3C(=O)O,4.661
511,CN(C)c1ccc(cc1)/C=C/c2ccnc3c2cccc3,4.305
512,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,4.728
513,CCN(CC)CCCC(CNc1ccnc2c1ccc(c2)Cl)c3ccc(cc3)Cl,5.766
514,CCN(CC)CCC(CNc1ccnc2c1ccc(c2)Cl)c3ccc(cc3)OC,4.884
515,C[n+]1ccccc1/C=C\c2ccc(cc2)N(C)C,5.343
516,C[n+]1c(ccc2c1cccc2)/C=C\c3ccc(cc3)Cl,4.49
517,C[n+]1c2ccccc2sc1/C=C/c3ccc(cc3)N(C)C,5.595
518,CC1(c2ccccc2[N+](=C1/C=C\C=C\c3ccccc3)C)C,5.627
519,CC1(c2ccccc2[N+](=C1/C=C/c3ccc(cc3)N(C)C)C)C,6.341
520,CC(C)(C)CC(C)(C)c1ccc(c(c1)C[N+](C)(C)[O-])O,4.38
521,CCCCCCN(CCCCCC)CC(c1cccc2c1cc(cc2)Cl)O,4.944
522,CCCCN(CCCC)CC(C)(C)C(c1ccc(c2c1cccc2)OC)O,5.29
523,CCN(CC)CCCC(Cc1ccccc1)Nc2c3ccc(cc3nc4c2cc(cc4)OC)Cl,5.698
524,CCN(CC)CCC(CNc1c2ccc(cc2nc3c1cc(c(c3)OC)OC)[N+](=O)[O-])c4ccccc4,5.926
525,CCCCCN(CCCCC)CC(c1cc(ccc1OC)Cl)O,4.948
526,CCCCCN(CCCCC)CC(c1ccc(c2c1cccc2)Cl)O,4.979
527,CCN(CC)Cc1cc(ccc1O)Nc2c3ccc(cc3nc4c2cc(cc4)OC)Cl,5.413
528,CCCCN(CCCC)c1ccc2c(c1)[s+]c3cc(cc(c3n2)C)N(CC)CC,7.035
529,CC1CCCN1CCCOC(=O)c2ccc(cc2)OC3CCCC=C3,4.52
530,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC5CCCC5)O)C)O,4.018
531,Cc1cc(c(cc1CN2CCCCC2)C(C)C)O,4
532,c1cc(c(cc1Cl)SCCCN2CCNCC2)Cl,4.701
533,c1ccc(cc1)C(c2ccccc2)(c3cccnc3)O,4
534,c1ccc(cc1)C(c2ccccc2)(c3ccccn3)O,4
535,c1cc2c(ccc3c2oc(=O)c4c3CCCC4)c(c1)O,4
536,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)O,4.637
537,c1cc(c(cc1Cl)[N+](=O)[O-])/C=C/[N+](=O)[O-],5.951
538,CNC(=O)Nc1ccccc1,4
539,CCCCN(CCCC)CCCCNc1c(cnc2c1ccc(c2)Cl)C,4.309
540,c1cc(ccc1N=C2C=C(C(=O)C(=C2)Br)Br)O,5.453
541,Cc1cc2c(cc1N)[s+]c3cc(ccc3n2)N(C)C,5.938
542,c1ccc(cc1)/N=N/c2c3ccccc3ccc2O,4
543,Cc1cc(c(cc1N=C2C=C(C(=O)C(=C2)Br)Br)C(C)C)O,5.566
544,COc1ccccc1/N=N/c2c3ccccc3ccc2O,5.119
545,Cc1ccc2c(c1)sc([n+]2C)c3ccc(cc3)N(C)C,5.702
546,CCNc1ccc(c2c1cccc2)C(=C3C=CC(=[N+](C)C)C=C3)c4ccc(cc4)N(C)C,6.816
547,c1ccc2c(c1)cccc2[n+]3c4cc(c5ccccc5c4nc6c3cc(c7c6cccc7)N)N,6.641
548,c1cc(ccc1c2ccc(c(c2)S(=O)(=O)O)/N=N/c3c4ccc(cc4cc(c3N)S(=O)(=O)O)S(=O)(=O)O)/N=N/c5c6ccc(cc6cc(c5N)S(=O)(=O)O)S(=O)(=O)O,4.049
549,c1c2c(c(c(c1)N)/N=N/c3c(cc(cc3)NC(=O)Nc4cc(c(cc4)/N=N/c5c6c(cc(cc6ccc5N)S(=O)(=O)O)O)S(=O)(=O)O)S(=O)(=O)O)c(cc(c2)S(=O)(=O)O)O,4.159
550,CCC(C)Oc1nc2c(n1C)c(=O)n(c(=O)n2C)C,4
551,CCOC(=O)N1c2ccccc2S(=O)(=O)c3c1cccc3,4
552,CCCCCN(CCCCC)CC(C)(C)C(c1ccc(c2c1cccc2)OC)O,4.555
553,c1ccc(cc1)NS(=O)(=O)c2ccc(cc2)[As]=O,6.052
554,CN(C)C(=S)Sc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],6.391
555,c1cnccc1/C=C/c2ccncc2,4
556,CC1C(=O)C(=C(C1(c2ccccc2)O)c3ccccc3)C,4.625
557,CCN(CC)CC(CNc1c2ccc(cc2nc3c1cc(cc3)OC)Cl)O,6.172
558,Cn1c2c(cn1)c(ncn2)Sc3ccc(cc3)Cl,5.319
559,CCCCN(c1ccccc1)c2c3cnn(c3ncn2)C,4.672
560,CCCOc1c2cnn(c2nc(n1)SCCC)c3ccccc3,4.246
561,Cn1c2c(cn1)c(nc(n2)Nc3ccc(cc3)Br)Nc4ccc(cc4)Br,5.491
562,Cn1c2c(cn1)c(nc(n2)Nc3cccc(c3)Cl)Nc4cccc(c4)Cl,5.94
563,C=CCn1c(=O)n(c(=O)n(c1=O)CC=C)CC=C,4
564,c1ccc(cc1)/N=N/c2c3ccccc3cc(c2O)C(=O)O,4.414
565,CN(CC(=O)O)CC(=O)O,4
566,CC(=CC1C(C1(C)C)C(=O)O)C,3.125
567,CC(COc1ccc(cc1N)[As](=O)(O)O)O,4
568,Cc1cc(=O)oc2c1cc(cc2)OC,4
569,c1cc(c(cc1Cl)Cl)CSCc2ccc(cc2Cl)Cl,4.653
570,c1ccc(cc1)C(=O)/C=C/c2ccc3c(c2)OCO3,4.72
571,COc1ccccc1/C=C\C(=O)c2ccccc2,5.485
572,COc1ccc(cc1OC)/C=C/C(=O)c2ccccc2,5.429
573,CN(C)c1ccc2c(c1)Sc3cc(ccc3N2C(=O)c4ccccc4)N(C)C,4
574,CCCCCN(CCCCC)CC(c1cc2c(c3c1cccc3)CCCC2)O,5.256
575,c1ccc2c(c1)c(cc(=O)o2)O,4
576,CC1=C(C(=O)c2ccccc2C1=O)O,4
577,CC(=CCC1=C(C(=O)c2ccccc2C1=O)O)C,5.182
578,COc1cccc2c1cc(c3c2c4c(cc3C(=O)O)OCO4)[N+](=O)[O-],4.698
579,CN(C)CCOc1ccc(cc1Cc2ccccc2)I,5.314
580,c1ccc(cc1)Cc2cc(cc(c2O)CNCCNCc3cc(cc(c3O)Cc4ccccc4)Cl)Cl,6.898
581,Cc1cc(c(c(c1)CNCCCCCCNCc2cc(cc(c2O)C)C)O)C,5.66
582,Cc1cc(c(c(c1)CNCCCNCc2cc(cc(c2O)C)C)O)C,5.418
583,c1c(c(c(c(c1Cl)Cl)CNCCNCc2c(c(cc(c2Cl)Cl)Cl)O)O)Cl,6.636
584,Cc1cc2c(c(c(c(c2C(C)C)O)O)/C=N/CCO)c(c1c3c(cc4c(c3O)c(c(c(c4C(C)C)O)O)/C=N\CCO)C)O,6.185
585,CCCCC/N=C/c1c(c(c(c2c1c(c(c(c2)C)c3c(c4c(c(c(c(c4cc3C)C(C)C)O)O)/C=N/CCCCC)O)O)C(C)C)O)O,4.599
586,CC(C)(C)C1=NN=C2C1C(=O)c3c2cccc3,4.199
587,CC(CNC(=O)N)NC(=O)N,4
588,CC1=C/C(=N\NS(=O)(=O)c2ccc(cc2)[N+](=O)[O-])/CC(C1)(C)C,4
589,c1cc2c(cc1O)oc-3cc(=O)ccc3n2,4.469
590,C/C(=C/c1ccc(c(c1)OC)OC)/[N+](=O)[O-],6.105
591,c1cc2ccc(c(c2c(c1)S(=O)(=O)O)/N=N/c3ccc(cc3)S(=O)(=O)c4ccc(cc4)/N=N\c5c(ccc6c5c(ccc6)S(=O)(=O)O)O)O,4
592,Cc1cc(c2cc(ccc2n1)NC(=O)CCCCCCCCC(=O)Nc3ccc4c(c3)c(cc(n4)C)N)N,4.969
593,Cc1cc(c2cc(ccc2n1)NC(=O)Nc3ccc4c(c3)c(cc(n4)C)N)N,4
594,c1nc2c(nc(=O)[nH]c2n1C3C(C(C(O3)CO)O)O)N,4.481
595,CC12CC(C3(C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC43C)F)O,6.271
596,c1ccc(cc1)c2c3ccccc3cc(c2C(=O)O)c4c5ccc(cc5oc-6cc(=O)ccc46)O,4.687
597,CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(C[C@H](C(=O)C4)C)C)C,4.725
598,c1ccc-2c(c1)Cc3c2ccc(c3)N,4.627
599,CNc1ccc-2c(c1)Cc3c2cccc3,4.228
600,CCNc1ccc-2c(c1)Cc3c2cccc3,4
601,c1ccc2c(c1)-c3ccccc3C2=Nc4ccc(cc4)N=C5c6ccccc6-c7c5cccc7,4
602,c1ccc2c(c1)-c3ccc(cc3C2=O)/N=[N+](\c4ccc-5c(c4)C(=O)c6c5cccc6)/[O-],4
603,c1ccc2c(c1)-c3ccc(cc3C2=O)N,4.146
604,CC(=O)Nc1ccc-2c(c1)C(=O)c3c2cccc3,4
605,c1ccc2c(c1)ccc(c2/N=N/c3ccc-4c(c3)C(=O)c5c4cccc5)O,4.812
606,c1ccc2cc(ccc2c1)NC(=O)CCC(=O)O,4
607,c1ccc2c(c1)ccc(c2/N=N/c3cc(ccc3O)S(=O)(=O)O)O,4.436
608,Cc1cc2cc3ccc(cc3nc2cc1N)N(C)C,6.113
