EQ_ID,Energy,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
EQ32,-1.412243354,2.00771,2.01001,2.01205,2.0279,2.03402,2.03649,2.06486,2.09969,2.1246,2.16591,2.22579,2.28745,2.29666,2.43925,2.44863,2.98305,3.72467
EQ33,-1.412002517,1.99897,2.00713,2.02406,2.03535,2.04834,2.07532,2.08471,2.11563,2.14393,2.14593,2.14835,2.15996,2.21698,2.25407,2.4002,2.50312,3.50161
EQ34,-1.411702975,2.01789,2.04267,2.04623,2.04656,2.08865,2.09372,2.09787,2.09815,2.10073,2.12383,2.15688,2.16254,2.16564,2.18291,2.20288,2.91913,3.38979
EQ35,-1.411412019,1.97282,1.97286,1.98876,1.98878,2.01177,2.01182,2.03624,2.12888,2.14506,2.25778,2.25792,2.27111,2.27129,2.29291,2.29301,2.30053,3.88395
EQ36,-1.4083199,2.0155,2.04039,2.0472,2.0677,2.06965,2.0723,2.07659,2.07945,2.10131,2.11317,2.1281,2.19941,2.2304,2.39526,2.41585,2.6452,3.06713
EQ37,-1.408091206,1.9896,2.00513,2.00697,2.0359,2.05474,2.05917,2.09229,2.09896,2.10658,2.11992,2.13857,2.15072,2.22083,2.31069,2.37906,2.4391,3.54511
EQ38,-1.406533139,1.98893,2.02078,2.04354,2.04496,2.0564,2.07469,2.10883,2.11104,2.12128,2.142,2.16583,2.20014,2.21454,2.24375,2.2671,2.60257,3.44216
EQ39,-1.402415736,2.0093,2.01519,2.03973,2.04822,2.05473,2.06708,2.07333,2.08974,2.09484,2.09705,2.1018,2.11813,2.13367,2.1605,2.17271,2.79175,3.3405
EQ40,-1.39913269,2.03229,2.03322,2.03741,2.04048,2.04113,2.06504,2.07823,2.09536,2.10739,2.13254,2.1326,2.15418,2.18898,2.41834,2.50406,2.55033,3.4257
EQ41,-1.397353535,2.03554,2.03554,2.04315,2.04318,2.07881,2.07883,2.08358,2.08361,2.12025,2.12289,2.12292,2.13117,2.13119,2.19605,2.24609,2.9064,3.16499
EQ42,-1.396967065,1.98605,2.00737,2.04666,2.05228,2.06179,2.06849,2.07083,2.08074,2.08307,2.09861,2.09994,2.18204,2.19707,2.71495,2.88117,3.14422,3.29472
EQ43,-1.39663137,2.04849,2.05897,2.06429,2.06953,2.07516,2.07819,2.08057,2.08173,2.10397,2.11154,2.12149,2.12587,2.15124,2.20884,2.224,2.89062,3.56994
EQ44,-1.396390159,2.05292,2.05294,2.05633,2.05646,2.07268,2.0728,2.07835,2.0784,2.11662,2.11677,2.11743,2.14053,2.14055,2.15637,2.21105,2.88896,3.96334
EQ45,-1.396365404,2.0327,2.04055,2.04738,2.05315,2.06694,2.06802,2.07553,2.07734,2.07955,2.12436,2.1327,2.16766,2.20063,2.20682,2.23127,2.92121,3.41754
EQ46,-1.395975955,2.0032,2.01881,2.02115,2.0248,2.03019,2.03902,2.06994,2.08037,2.09931,2.10266,2.10729,2.16294,2.17625,2.22193,2.48267,2.98388,3.34523
EQ47,-1.391430018,2.05051,2.05057,2.06423,2.06436,2.06517,2.06518,2.07089,2.07093,2.11952,2.12098,2.12112,2.12208,2.12244,2.1937,2.23345,2.89067,3.78364
EQ48,-1.389722546,1.99597,2.00595,2.01581,2.03913,2.05223,2.08549,2.10724,2.11772,2.14037,2.15881,2.17608,2.20962,2.30506,2.34948,2.38244,2.42437,3.38661
EQ49,-1.389350799,2.0128,2.03267,2.03914,2.04048,2.05048,2.08604,2.11576,2.14026,2.16063,2.18277,2.19176,2.22142,2.24708,2.50586,2.58884,2.99547,3.6004
